_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.1019855974357	+31.5019164477256	056.10198458748	0.5603	+31.50191307217	0.2703	216505869713381504	1.1223	0.6210	-0.200	0.919	-0.784	0.590	0	2.7952e+02	1.1429e+00	19.5723	0.0044	6.6317e+01	8.6273e+00	20.7973	0.1412	3.9125e+02	6.9145e+00	18.2808	0.0192	2.5165							
056.1134363478559	+31.5001195025166	056.11344008462	0.5676	+31.50009724710	0.2591	216505865417608192	1.3264	0.6505	0.740	0.806	-5.169	0.565	0	3.2521e+02	1.3406e+00	19.4080	0.0045	7.5282e+01	6.5892e+00	20.6597	0.0950	4.1965e+02	6.8396e+00	18.2047	0.0177	2.4550							
056.1280693364951	+31.5091900292166	056.12806535191	0.6121	+31.50915843505	0.3050	216505899777389952	0.4888	0.6901	-0.789	1.038	-7.338	0.729	0	2.5398e+02	1.0407e+00	19.6764	0.0044	6.5756e+01	8.3579e+00	20.8066	0.1380	3.6366e+02	9.5311e+00	18.3602	0.0285	2.4464							
056.0640434920370	+31.5029541987071	056.06405681350	0.1917	+31.50294561343	0.1016	216506552612350592	0.3691	0.2106	2.638	0.286	-1.994	0.216	0	1.2373e+03	1.9671e+00	17.9572	0.0017	3.7750e+02	8.7381e+00	18.9091	0.0251	1.3650e+03	8.1459e+00	16.9241	0.0065	1.9850							
056.0671804907566	+31.4992680591496	056.06716064569	2.0024	+31.49918128929	1.1300	216506552612416384	-3.8179	2.4898	-3.930	2.966	-20.153	2.662	0	1.3184e+02	1.6900e+00	20.3883	0.0139	5.0289e+01	7.2771e+00	21.0977	0.1571	3.0068e+02	9.2400e+00	18.5666	0.0334	2.5311							
056.0561372381374	+31.4954527198507	056.05615720863	2.9773	+31.49544816888	1.0021	216506556907808512	0.5885	2.8832	3.955	4.451	-1.057	2.186	0	7.9204e+01	1.3497e+00	20.9415	0.0185	1.5320e+01	5.4699e+00	22.3882	0.3877	1.3453e+02	6.7808e+00	19.4399	0.0547	2.9484							
056.0713039090800	+31.4904600193800	056.07130390908	3.5344	+31.49046001938	1.4860	216506488188363136							0	7.7832e+01	1.4202e+00	20.9605	0.0198	3.3773e+01	1.6426e+01	21.5300	0.5281	1.2445e+02	6.1145e+00	19.5244	0.0533	2.0055							
056.0955030583970	+31.5170625458622	056.09550519985	0.6146	+31.51705869239	0.2878	216506621331829760	0.1851	0.6714	0.424	1.027	-0.895	0.649	0	2.6283e+02	1.1856e+00	19.6392	0.0049	7.9500e+01	5.5396e+00	20.6005	0.0757	3.2870e+02	8.3418e+00	18.4699	0.0276	2.1305							
056.0904169261918	+31.5046296229665	056.09038679834	1.2849	+31.50461133297	0.6396	216506621331932416	-1.3205	1.4330	-5.966	2.097	-4.248	1.356	0	1.3146e+02	9.2477e-01	20.3914	0.0076	3.9819e+01	1.2541e+01	21.3512	0.3420	2.2287e+02	6.6573e+00	18.8918	0.0324	2.4594							
056.1040820455336	+31.5104686867976	056.10412042231	1.2747	+31.51046862222	0.5965	216506621331932544	2.7392	1.4100	7.599	1.959	-0.015	1.434	0	1.2329e+02	1.1044e+00	20.4611	0.0097	4.3534e+01	1.1173e+01	21.2543	0.2787	2.1998e+02	5.9390e+00	18.9059	0.0293	2.3484							
056.0929549569900	+31.5072869065800	056.09295495699	5.9572	+31.50728690658	1.9660	216506625627317504							0	7.4181e+01	1.5990e+00	21.0126	0.0234																
056.0985711918738	+31.5199451709766	056.09855371627	1.8306	+31.51993813570	0.7051	216506659986900352	-1.5627	1.6898	-3.460	3.139	-1.634	1.606	0	9.9910e+01	1.0493e+00	20.6893	0.0114	4.0914e+01	9.5032e+00	21.3217	0.2522	1.2813e+02	7.5920e+00	19.4928	0.0643	1.8289							
056.0953997731141	+31.5034298864142	056.09543023387	1.4749	+31.50342052614	0.7800	216506621331927936	3.0706	1.5976	6.032	2.334	-2.174	1.734	0	1.0622e+02	1.1361e+00	20.6229	0.0116	4.3109e+01	8.8590e+00	21.2650	0.2231	1.3214e+02	7.4638e+00	19.4593	0.0613	1.8056							
056.0850548774340	+31.5291227201695	056.08506659128	0.4937	+31.52912124767	0.2110	216506694347102080	0.5988	0.5678	2.319	0.640	-0.342	0.442	0	4.7663e+02	1.3192e+00	18.9929	0.0030	1.0665e+02	9.0552e+00	20.2815	0.0922	5.9727e+02	1.1511e+01	17.8215	0.0209	2.4600							
056.1146857518300	+31.5187007997800	056.11468575183	1.8242	+31.51870079978	1.3565	216506655692102016							0	9.8661e+01	1.1198e+00	20.7030	0.0123	4.6315e+01	1.4603e+01	21.1871	0.3423	2.1639e+02	1.1668e+01	18.9238	0.0585	2.2632							
056.0429145544110	+31.5170006098459	056.04290024608	0.2903	+31.51699989943	0.1519	216506827490259456	0.8302	0.3243	-2.833	0.422	-0.165	0.326	0	7.1178e+02	1.6074e+00	18.5575	0.0025	1.7533e+02	1.2165e+01	19.7417	0.0753	8.9496e+02	1.5136e+01	17.3824	0.0184	2.3593							
056.0520020593330	+31.5170756673526	056.05206670698	0.1361	+31.51700294223	0.0849	216506758770782848	0.9959	0.1621	12.800	0.238	-16.891	0.173	0	2.7750e+03	3.5164e+00	17.0802	0.0014	6.4205e+02	1.0655e+01	18.3325	0.0180	3.3457e+03	1.4155e+01	15.9507	0.0046	2.3818							
056.0515610744191	+31.5327395113800	056.05155862952	0.9000	+31.53273745763	0.4436	216506866145093248	-0.0281	1.0024	-0.484	1.256	-0.477	0.950	0	1.6805e+02	1.3612e+00	20.1248	0.0088	5.0273e+01	8.1295e+00	21.0981	0.1756	2.2464e+02	5.9305e+00	18.8832	0.0287	2.2149							
056.0519165944350	+31.5378808939016	056.05190350037	0.5253	+31.53786572543	0.2733	216506861852930560	-0.1955	0.5795	-2.592	0.770	-3.523	0.581	0	3.3854e+02	1.2477e+00	19.3643	0.0040	8.5683e+01	6.4893e+00	20.5191	0.0822	4.3021e+02	1.0195e+01	18.1777	0.0257	2.3414							
056.0380561400438	+31.5258826184367	056.03807310660	0.5485	+31.52587856691	0.2753	216506827490282624	0.3238	0.6036	3.359	0.873	-0.941	0.611	0	3.3844e+02	1.2991e+00	19.3647	0.0042	9.5709e+01	9.9584e+00	20.3990	0.1130	4.1247e+02	9.1904e+00	18.2234	0.0242	2.1756							
056.0758769565826	+31.5583114218101	056.07589340354	0.8765	+31.55830095070	0.4721	216507003584044928	0.1884	1.0601	3.255	1.494	-2.432	0.987	0	1.6938e+02	1.1922e+00	20.1162	0.0076	4.1964e+01	8.3717e+00	21.2942	0.2166	2.5356e+02	7.4491e+00	18.7517	0.0319	2.5425							
056.0825621781822	+31.5352438701353	056.08258065181	1.5421	+31.53522827972	0.7389	216506930570008832	1.1882	1.6982	3.657	2.181	-3.621	1.665	0	1.1972e+02	1.4139e+00	20.4929	0.0128	4.0515e+01	9.1354e+00	21.3323	0.2448	2.1592e+02	7.6031e+00	18.9262	0.0382	2.4062							
056.0725045263000	+31.5599951294900	056.07250452630	1.5264	+31.55999512949	1.3007	216507003584045056							0	1.1480e+02	1.1619e+00	20.5385	0.0110																
056.0802067400846	+31.5445921126394	056.08022777697	0.6936	+31.54459907903	0.3231	216506930569545728	1.1151	0.7494	4.164	1.090	1.618	0.689	0	2.5835e+02	1.4733e+00	19.6579	0.0062	6.4559e+01	7.4313e+00	20.8265	0.1250	3.6279e+02	8.4410e+00	18.3628	0.0253	2.4637							
056.0774975338562	+31.5276917772941	056.07751673841	1.5115	+31.52767658299	0.6592	216506900505193984	4.2306	1.6054	3.802	2.217	-3.529	1.447	0	1.1048e+02	1.1028e+00	20.5802	0.0108	4.5461e+01	9.3685e+00	21.2073	0.2237	2.3512e+02	8.6895e+00	18.8337	0.0401	2.3736							
056.0724744752110	+31.5596005620975	056.07246580949	0.1574	+31.55957864682	0.0827	216507003584747008	0.6791	0.1742	-1.715	0.244	-5.090	0.175	0	1.6886e+03	2.3380e+00	17.6195	0.0015	3.3297e+02	7.2319e+00	19.0454	0.0236	2.2922e+03	1.3788e+01	16.3613	0.0065	2.6841							
056.0891518039035	+31.5402529639667	056.08915083900	0.1185	+31.54024888230	0.0643	216506934865270528	-0.0076	0.1311	-0.191	0.193	-0.948	0.136	0	4.6376e+03	4.6360e+00	16.5226	0.0011	5.0569e+02	9.7163e+00	18.5917	0.0209	6.9392e+03	3.8831e+01	15.1586	0.0061	3.4330			3956.17				
056.0761733012039	+31.5330995511518	056.07627376977	0.5151	+31.53303715508	0.2843	216506900505532416	3.5605	0.5549	19.889	0.837	-14.492	0.581	0	7.2488e+03	2.1296e+01	16.0377	0.0032	1.3205e+03	7.4633e+00	17.5495	0.0061	9.7532e+03	1.7561e+01	14.7891	0.0020	2.7605			3848.88				
056.0641666810042	+31.5458683880468	056.06418976430	0.1992	+31.54586165416	0.1236	216506964929216640	0.6247	0.2463	4.569	0.335	-1.564	0.270	0	1.1783e+03	2.2979e+00	18.0103	0.0021	2.4953e+02	1.4331e+01	19.3586	0.0624	1.5228e+03	1.1466e+01	16.8053	0.0082	2.5533							
056.0240632562122	+31.5222025921150	056.02408420724	1.1340	+31.52218715670	0.6583	216518200563727232	-0.2369	1.3911	4.148	1.820	-3.585	1.481	0	1.3395e+02	1.0948e+00	20.3710	0.0089	4.6713e+01	9.4476e+00	21.1778	0.2196	2.0883e+02	9.4134e+00	18.9624	0.0489	2.2153							
056.0276437362678	+31.5407934726102	056.02768447463	1.1973	+31.54077633220	0.5277	216518647240328064	-2.7174	1.2624	8.064	1.717	-3.981	1.182	0	1.4385e+02	1.0592e+00	20.2936	0.0080	6.8933e+01	1.5201e+01	20.7553	0.2394	2.3546e+02	1.0416e+01	18.8321	0.0480	1.9232							
056.0146043946000	+31.5390674916700	056.01460439460	4.7390	+31.53906749167	0.9522	216518651535717888							0	8.7748e+01	1.7307e+00	20.8303	0.0214	4.8116e+01	1.2448e+01	21.1457	0.2809	1.5602e+02	1.4402e+01	19.2790	0.1002	1.8667							
056.0349228210606	+31.5456432627277	056.03491848127	1.0017	+31.54563890120	0.4659	216518612880590592	-1.0026	1.1074	-0.859	1.385	-1.013	1.061	0	1.5663e+02	1.0446e+00	20.2011	0.0072	5.7723e+01	7.6035e+00	20.9480	0.1430	2.4547e+02	1.1021e+01	18.7869	0.0487	2.1611							
056.0368675545979	+31.5336126433403	056.03688178465	0.4733	+31.53360143598	0.2289	216518578520804608	0.4947	0.4924	2.817	0.734	-2.603	0.500	0	4.3695e+02	1.4226e+00	19.0873	0.0035	7.8894e+01	7.2465e+00	20.6088	0.0997	5.7975e+02	7.2012e+00	17.8538	0.0135	2.7550							
056.0426323602400	+31.5438043993900	056.04263236024	13.9013	+31.54380439939	5.4544	216518612881053696							0	7.0873e+01	2.1708e+00	21.0622	0.0333																
056.0538678007766	+31.5509819884144	056.05386496131	1.1918	+31.55096761647	0.5688	216518720254829184	-0.2570	1.2224	-0.562	1.782	-3.338	1.195	0	1.3091e+02	1.2253e+00	20.3959	0.0102	4.3233e+01	1.1835e+01	21.2618	0.2972	1.9262e+02	5.9170e+00	19.0502	0.0334	2.2117							
056.0690158974900	+31.5680943204109	056.06902253255	1.0212	+31.56807524680	0.5010	216518750319547008	-0.4777	1.1200	1.313	1.466	-4.430	1.048	0	1.6106e+02	1.1366e+00	20.1709	0.0077	4.8647e+01	8.4014e+00	21.1337	0.1875	2.3539e+02	5.2816e+00	18.8325	0.0244	2.3013							
056.0411926298782	+31.5722893915444	056.04119473217	0.4779	+31.57227858460	0.2511	216518784679217536	0.5251	0.5106	0.416	0.702	-2.510	0.541	0	4.5103e+02	1.4222e+00	19.0528	0.0034	9.4327e+01	5.0666e+00	20.4148	0.0583	5.8442e+02	9.1473e+00	17.8451	0.0170	2.5697							
055.9970616696800	+31.5725455635300	055.99706166968	3.2119	+31.57254556353	1.5862	216518926413132288							0	1.6048e+02	1.7650e+00	20.1748	0.0119	3.6208e+01	8.7490e+00	21.4544	0.2623	2.9939e+02	8.2083e+00	18.5713	0.0298	2.8831							
056.0003916511133	+31.5533792313832	056.00042584685	1.7563	+31.55337355236	0.6200	216518857694019840	1.2579	1.8469	6.768	2.137	-1.319	1.359	0	1.3045e+02	1.1526e+00	20.3998	0.0096	6.7189e+01	8.7739e+00	20.7831	0.1418	1.8280e+02	6.1628e+00	19.1070	0.0366	1.6762							
056.0014358970049	+31.5648439754288	056.00143974753	0.8226	+31.56483061529	0.4248	216518926413132416	-0.3499	0.9312	0.762	1.166	-3.103	0.873	0	2.2209e+02	1.3507e+00	19.8220	0.0066	3.4362e+01	3.4572e+00	21.5112	0.1092	3.0800e+02	4.7994e+00	18.5405	0.0169	2.9706							
056.0016590265202	+31.5526391787543	056.00166485713	0.3623	+31.55262244306	0.1568	216518853398692608	1.0819	0.3940	1.154	0.484	-3.887	0.334	0	6.8951e+02	1.7783e+00	18.5920	0.0028	1.6211e+02	5.9965e+00	19.8269	0.0402	8.7683e+02	8.1210e+00	17.4046	0.0101	2.4223							
